Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
86;21100235632;"Asian Journal of Shipping and Logistics";journal;"20925212";0,544;Q2;16;34;102;1369;244;100;2,21;40,26;Netherlands;Western Europe;"Elsevier BV";"2009-2020";"Business and International Management (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Transportation (Q2)"
87;20213;"International Labour Review";journal;"00207780, 1564913X";0,537;Q2;45;29;81;1308;133;77;1,63;45,10;United States;Northern America;"Wiley-Blackwell";"1945-1948, 1973-2020";"Management of Technology and Innovation (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)"
88;4700152784;"Journal of Internet Commerce";journal;"1533287X, 15332861";0,532;Q2;24;20;57;1709;163;56;2,25;85,45;United States;Northern America;"Routledge";"2002-2020";"Human-Computer Interaction (Q2); Management of Technology and Innovation (Q2)"
89;21100299408;"Supply Chain Forum";journal;"16246039, 16258312";0,506;Q2;10;25;77;1659;128;68;1,79;66,36;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2020";"Business and International Management (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2)"
90;21100220467;"International Journal of Knowledge-Based Development";journal;"20404476, 20404468";0,498;Q2;18;15;66;773;85;64;1,05;51,53;Switzerland;Western Europe;"Inderscience Publishers";"2010-2019";"Information Systems and Management (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2)"
91;19700187506;"International Journal of Shipping and Transport Logistics";journal;"17566517, 17566525";0,495;Q2;20;26;99;1223;120;95;1,20;47,04;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2010-2020";"Business and International Management (Q2); Management of Technology and Innovation (Q2); Transportation (Q2); Management Science and Operations Research (Q3)"
92;19900191718;"International Journal of Accounting and Information Management";journal;"17589037, 18347649";0,494;Q2;19;33;73;2182;165;71;1,81;66,12;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2007-2020";"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2)"
93;11700154321;"International Journal of Innovation Management";journal;"13639196";0,491;Q2;39;137;258;9250;509;248;2,08;67,52;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2008-2020";"Business and International Management (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2)"
94;5700153460;"Publishing Research Quarterly";journal;"19364792, 10538801";0,487;Q2;14;48;120;1216;104;117;0,80;25,33;United States;Northern America;"Springer US";"1991-2020";"Media Technology (Q1); Business and International Management (Q2); Communication (Q2); Computer Science Applications (Q2); Management of Technology and Innovation (Q2); Marketing (Q2)"
95;23651;"System Dynamics Review";journal;"10991727, 08837066";0,483;Q2;55;20;51;764;104;47;1,88;38,20;United States;Northern America;"John Wiley and Sons Ltd";"1985-2020";"Management of Technology and Innovation (Q2); Social Sciences (miscellaneous) (Q2); Strategy and Management (Q2)"
96;19900192221;"Journal of Management Control";journal;"2191477X, 21914761";0,482;Q2;15;15;53;1228;108;43;2,90;81,87;Germany;Western Europe;"Physica-Verlag";"2011-2020";"Management Information Systems (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2); Management Science and Operations Research (Q3)"
97;4700152306;"International Journal of Mining, Reclamation and Environment";journal;"17480949, 17480930";0,479;Q2;19;54;104;2313;217;98;2,31;42,83;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2020";"Earth-Surface Processes (Q2); Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2); Management of Technology and Innovation (Q2)"
98;12100154706;"Baltic Journal of Management";journal;"17465265";0,470;Q2;25;46;83;3119;208;81;2,67;67,80;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2006-2020";"Business and International Management (Q2); Management of Technology and Innovation (Q2); Marketing (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)"
99;27159;"Innovation";journal;"13511610, 14698412";0,469;Q2;32;42;109;2046;160;90;1,62;48,71;United Kingdom;Western Europe;"Routledge";"1988-2020";"Geography, Planning and Development (Q2); Management of Technology and Innovation (Q2)"
100;21100789866;"ASSETS 2016 - Proceedings of the 18th International ACM SIGACCESS Conference on Computers and Accessibility";conference and proceedings;"-";0,467;-;11;0;72;0;163;70;0,00;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Education; Electrical and Electronic Engineering; Health Informatics; Management of Technology and Innovation; Mechanical Engineering; Safety, Risk, Reliability and Quality; Urban Studies"
101;4700152908;"Knowledge Management Research and Practice";journal;"14778238, 14778246";0,462;Q2;34;68;129;4817;329;127;2,43;70,84;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2020";"Business and International Management (Q2); Library and Information Sciences (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2); Management Science and Operations Research (Q3)"
102;22336;"Harvard Business Review";journal;"00178012";0,461;Q2;170;89;383;0;672;60;11,87;0,00;United States;Northern America;"Harvard Business School Publishing";"1974, 1978-1987, 1989-2019";"Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2); Management of Technology and Innovation (Q2); Medicine (miscellaneous) (Q2); Strategy and Management (Q2)"
103;21100286465;"International Journal of Entrepreneurship and Innovation";journal;"20436882, 14657503";0,453;Q2;14;34;79;2318;137;74;1,75;68,18;United Kingdom;Western Europe;"SAGE Publications Inc.";"2013-2020";"Business and International Management (Q2); Management of Technology and Innovation (Q2)"
104;74937;"Autex Research Journal";journal;"23000929, 14709589";0,452;Q2;30;87;134;1468;168;119;1,41;16,87;Poland;Eastern Europe;"The Technical University of Lodz";"1999-2000, 2002-2020";"Industrial and Manufacturing Engineering (Q2); Management of Technology and Innovation (Q2); Materials Science (miscellaneous) (Q2)"
