Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
82;17200154705;"European Journal of International Management";journal;"17516757, 17516765";0,753;Q1;22;41;103;2872;305;99;3,38;70,05;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2009-2020";"Business and International Management (Q1); Education (Q1); Organizational Behavior and Human Resource Management (Q2)"
83;22897;"Journal of Consumer Marketing";journal;"07363761";0,751;Q1;91;96;179;6286;448;178;1,99;65,48;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1984-2020";"Business and International Management (Q1); Marketing (Q2)"
84;7000153208;"Service Business";journal;"18628508, 18628516";0,747;Q1;28;28;118;2189;344;98;3,13;78,18;Germany;Western Europe;"Springer Verlag";"2007-2020";"Business and International Management (Q1); Strategy and Management (Q2)"
85;18700156709;"Management and Organization Review";journal;"17408776, 17408784";0,744;Q1;59;40;143;2623;294;105;2,82;65,58;United Kingdom;Western Europe;"Cambridge University Press";"2005-2019";"Business and International Management (Q1); Strategy and Management (Q2)"
86;145291;"Business Process Management Journal";journal;"14637154";0,733;Q1;76;141;197;10622;791;192;3,76;75,33;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1997-2020";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1)"
87;144921;"International Journal of Retail and Distribution Management";journal;"09590552";0,725;Q1;73;85;204;6566;758;194;3,28;77,25;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1990-2020";"Business and International Management (Q1); Marketing (Q2); Tourism, Leisure and Hospitality Management (Q2)"
88;15496;"International Journal of Intercultural Relations";journal;"01471767";0,721;Q1;75;60;163;3979;403;160;2,39;66,32;United Kingdom;Western Europe;"Elsevier Ltd.";"1977-2020";"Business and International Management (Q1); Sociology and Political Science (Q1); Social Psychology (Q2)"
89;5700185098;"Competitiveness Review";journal;"20513143, 10595422";0,713;Q1;23;38;88;2572;236;84;2,36;67,68;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1996-2020";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1)"
90;22920;"Journal of Fashion Marketing and Management";journal;"13612026";0,712;Q1;47;39;97;2634;284;97;2,37;67,54;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1996-2020";"Business and International Management (Q1); Marketing (Q2)"
91;5600153495;"Journal of Industrial Relations";journal;"00221856, 14729296";0,704;Q1;29;36;108;2099;190;103;1,88;58,31;United States;Northern America;"SAGE Publications Inc.";"1959-2020";"Business and International Management (Q1); Industrial Relations (Q1)"
92;22893;"Journal of Business and Industrial Marketing";journal;"08858624";0,685;Q1;62;189;285;14196;996;278;3,35;75,11;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1986-2020";"Business and International Management (Q1); Marketing (Q2)"
93;20208;"Business History Review";journal;"00076805, 2044768X";0,681;Q1;27;35;72;2125;64;60;1,14;60,71;United Kingdom;Western Europe;"Cambridge University Press";"1926-2020";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); History (Q1)"
94;21100830164;"Business and Human Rights Journal";journal;"20570198, 20570201";0,676;Q1;9;28;72;1026;97;70;1,30;36,64;United Kingdom;Western Europe;"Cambridge University Press";"2016-2020";"Business and International Management (Q1); Industrial Relations (Q1); Law (Q1); Sociology and Political Science (Q1)"
95;21100870602;"Journal of Sustainable Finance and Investment";journal;"20430809, 20430795";0,668;Q1;13;33;54;1650;112;51;2,08;50,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2020";"Business and International Management (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q2)"
96;11600154157;"TQM Journal";journal;"17542731";0,658;Q1;64;85;152;5537;582;149;3,88;65,14;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2020";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Decision Sciences (miscellaneous) (Q2); Strategy and Management (Q2)"
97;145676;"Thunderbird International Business Review";journal;"10964762";0,649;Q1;33;87;183;5842;420;154;2,92;67,15;United States;Northern America;"John Wiley and Sons Inc.";"2005-2020";"Business and International Management (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1)"
98;21100465205;"European Research on Management and Business Economics";journal;"24448834";0,641;Q1;14;22;64;1176;252;64;4,98;53,45;Spain;Western Europe;"European Academy of Management and Business Economics";"2016-2020";"Business and International Management (Q1); Economics and Econometrics (Q2); Marketing (Q2); Strategy and Management (Q2)"
99;21100887701;"Journal of Self-Governance and Management Economics";journal;"23770996, 23294175";0,641;Q1;7;20;19;342;93;19;4,89;17,10;United States;Northern America;"Addleton Academic Publishers";"2018-2019";"Business and International Management (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Philosophy (Q1); Political Science and International Relations (Q1)"
