Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
66;14500154733;"Operational Research";journal;"11092858, 18661505";0,670;Q2;18;129;202;5584;401;105;4,05;43,29;Germany;Western Europe;"Springer Verlag";"2009-2020";"Computational Theory and Mathematics (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Numerical Analysis (Q2); Statistics, Probability and Uncertainty (Q2); Strategy and Management (Q2)"
67;24358;"Journal of Heuristics";journal;"13811231, 15729397";0,667;Q2;62;43;91;1746;210;83;2,27;40,60;Netherlands;Western Europe;"Springer Netherlands";"1995-2020";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Control and Optimization (Q2); Information Systems (Q2); Management Science and Operations Research (Q2); Software (Q2)"
68;20606;"Journal of Forecasting";journal;"02776693, 1099131X";0,654;Q2;55;70;171;2985;310;169;1,88;42,64;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1982-2020";"Computer Science Applications (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Statistics, Probability and Uncertainty (Q2); Strategy and Management (Q2)"
69;19700182731;"Egyptian Informatics Journal";journal;"11108665";0,650;Q2;28;24;72;781;378;67;6,17;32,54;Egypt;Africa/Middle East;"Faculty of Computers and Information, Cairo University";"2010-2020";"Computer Science Applications (Q2); Information Systems (Q2); Management Science and Operations Research (Q2)"
70;19600161828;"Public Transport";journal;"16137159, 1866749X";0,639;Q2;24;27;77;1160;133;75;1,69;42,96;Germany;Western Europe;"Springer Verlag";"2009-2020";"Information Systems (Q2); Management Science and Operations Research (Q2); Mechanical Engineering (Q2); Transportation (Q2)"
71;29114;"Engineering Optimization";journal;"0305215X, 10290273";0,636;Q2;61;190;368;6815;1084;366;2,95;35,87;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974-2020";"Industrial and Manufacturing Engineering (Q1); Applied Mathematics (Q2); Computer Science Applications (Q2); Control and Optimization (Q2); Management Science and Operations Research (Q2)"
72;14715;"Technology Analysis and Strategic Management";journal;"14653990, 09537325";0,627;Q2;64;124;271;6263;681;265;2,36;50,51;United Kingdom;Western Europe;"Routledge";"1989-2020";"Management Science and Operations Research (Q2); Strategy and Management (Q2)"
73;21100386518;"Advances in Production Engineering And Management";journal;"18556531, 18546250";0,622;Q2;14;38;102;1134;274;102;2,76;29,84;Slovenia;Eastern Europe;"Production Engineering Institute (PEI), University of Maribor";"2014-2019";"Industrial and Manufacturing Engineering (Q1); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Mechanical Engineering (Q2); Nuclear and High Energy Physics (Q2)"
74;21100830431;"Service Science";journal;"21643970, 21643962";0,619;Q2;12;8;91;319;196;85;2,05;39,88;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"2015-2019";"Business and International Management (Q1); Management Science and Operations Research (Q2); Marketing (Q2); Modeling and Simulation (Q2)"
75;5000158106;"Central European Journal of Operations Research";journal;"1435246X";0,618;Q2;30;113;156;4065;304;146;2,48;35,97;Germany;Western Europe;"Springer Verlag";"2006-2020";"Management Science and Operations Research (Q2)"
