Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
24;4700152304;"European Journal of Work and Organizational Psychology";journal;"1359432X";1,809;Q1;61;78;201;6912;786;190;3,70;88,62;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2020";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)"
25;19251;"Work, Employment and Society";journal;"09500170";1,808;Q1;75;101;182;4927;736;169;4,30;48,78;United States;Northern America;"SAGE Publications Ltd";"1987-2020";"Accounting (Q1); Economics and Econometrics (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
26;4700152638;"Review of International Organizations";journal;"1559744X, 15597431";1,807;Q1;31;47;68;3393;217;59;3,93;72,19;Germany;Western Europe;"Springer New York";"2006-2020";"Economics and Econometrics (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1)"
27;30017;"Journal of Occupational and Organizational Psychology";journal;"20448325, 09631798";1,774;Q1;106;54;105;4227;464;104;3,40;78,28;United States;Northern America;"Wiley-Blackwell";"1992-2020";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)"
28;24718;"Human Resource Management";journal;"00904848, 1099050X";1,640;Q1;87;53;199;5404;829;197;3,92;101,96;United States;Northern America;"Wiley-Liss Inc.";"1961-2020";"Applied Psychology (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
29;29412;"Group and Organization Management";journal;"10596011";1,567;Q1;81;38;90;3827;315;77;3,58;100,71;United States;Northern America;"SAGE Publications Inc.";"1976-2020";"Applied Psychology (Q1); Arts and Humanities (miscellaneous) (Q1); Organizational Behavior and Human Resource Management (Q1)"
30;11700154366;"Journal of Leadership and Organizational Studies";journal;"19397089, 15480518";1,504;Q1;39;38;100;2986;319;99;2,98;78,58;United States;Northern America;"SAGE Publications Inc.";"1996-1999, 2008-2020";"Business and International Management (Q1); Management Science and Operations Research (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1)"
31;23865;"Journal of Economic Behavior and Organization";journal;"01672681";1,482;Q1;108;377;735;18119;1478;693;1,84;48,06;Netherlands;Western Europe;"Elsevier";"1980-2020";"Economics and Econometrics (Q1); Organizational Behavior and Human Resource Management (Q1)"
32;19295;"Gender, Work and Organization";journal;"14680432, 09686673";1,400;Q1;70;128;125;7869;491;118;3,48;61,48;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1994-2020";"Gender Studies (Q1); Organizational Behavior and Human Resource Management (Q1)"
33;12100156754;"Sport Management Review";journal;"14413523";1,390;Q1;50;101;134;7679;594;132;4,65;76,03;Netherlands;Western Europe;"Elsevier BV";"1998-2020";"Business and International Management (Q1); Management Science and Operations Research (Q1); Marketing (Q1); Organizational Behavior and Human Resource Management (Q1); Sports Science (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)"
34;16922;"Labour Economics";journal;"09275371";1,368;Q1;70;79;252;3584;449;248;1,54;45,37;Netherlands;Western Europe;"Elsevier";"1993-2020";"Economics and Econometrics (Q1); Organizational Behavior and Human Resource Management (Q1)"
35;21078;"Journal of Sport Management";journal;"1543270X, 08884773";1,340;Q1;61;18;127;1141;454;124;2,99;63,39;United States;Northern America;"Human Kinetics Publishers Inc.";"1996-2019";"Decision Sciences (miscellaneous) (Q1); Organizational Behavior and Human Resource Management (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
36;4000152126;"Research in the Sociology of Organizations";book series;"0733558X";1,307;Q1;34;110;178;6786;249;141;1,84;61,69;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2000-2007, 2009-2011, 2013-2019";"Organizational Behavior and Human Resource Management (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
37;21100869398;"Work, Aging and Retirement";journal;"20544650";1,303;Q1;20;19;87;1761;326;85;2,90;92,68;United States;Northern America;"Oxford University Press";"2015-2019";"Economics, Econometrics and Finance (miscellaneous) (Q1); Geriatrics and Gerontology (Q1); Industrial Relations (Q1); Life-span and Life-course Studies (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
