Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
11;24870;"Journal of Human Resources";journal;"15488004, 0022166X";4,777;Q1;98;16;96;734;386;96;3,27;45,88;United States;Northern America;"University of Wisconsin Press";"1976-1982, 1990, 1992-2019";"Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
12;20650;"Journal of Management Studies";journal;"00222380, 14676486";4,608;Q1;172;77;156;7678;1273;134;6,69;99,71;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1964-2020";"Business and International Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
13;19169;"Journal of Operations Management";journal;"02726963";3,957;Q1;181;50;103;4178;857;91;6,31;83,56;Netherlands;Western Europe;"John Wiley and Sons Inc.";"1980-1991, 1993-2020";"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
14;4700152287;"Academy of Management Perspectives";journal;"15589080";3,649;Q1;123;23;78;2078;525;73;5,96;90,35;United States;Northern America;"Academy of Management";"2006-2019";"Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1)"
15;20037;"International Journal of Management Reviews";journal;"14608545, 14682370";3,482;Q1;96;26;98;3953;1181;96;12,27;152,04;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1999-2002, 2004-2020";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
16;22900;"Research Policy";journal;"00487333";3,246;Q1;224;200;455;16197;3837;445;6,91;80,99;Netherlands;Western Europe;"Elsevier";"1971-2020";"Engineering (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
17;21100217630;"Strategic Entrepreneurship Journal";journal;"19324391, 1932443X";3,245;Q1;38;28;72;2614;540;68;8,76;93,36;United States;Northern America;"John Wiley and Sons Inc.";"2011-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Strategy and Management (Q1)"
18;27679;"Journal of Product Innovation Management";journal;"15405885, 07376782";3,128;Q1;135;39;172;3349;1043;141;6,43;85,87;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1984-2020";"Engineering (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
19;16547;"Tourism Management";journal;"02615177";3,068;Q1;179;234;651;17514;6900;648;9,66;74,85;United Kingdom;Western Europe;"Elsevier Ltd.";"1982-2020";"Development (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1); Transportation (Q1)"
20;11800154593;"Strategic Organization";journal;"1741315X, 14761270";2,987;Q1;51;41;82;3389;405;69;4,49;82,66;United Kingdom;Western Europe;"SAGE Publications Ltd";"2003-2020";"Business and International Management (Q1); Education (Q1); Industrial Relations (Q1); Strategy and Management (Q1)"
21;28312;"Organization Studies";journal;"17413044, 01708406";2,967;Q1;140;149;224;11151;1232;212;5,54;74,84;United States;Northern America;"SAGE Publications Ltd";"1980-2020";"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
22;21341;"California Management Review";journal;"21628564, 00081256";2,773;Q1;124;28;80;155;611;79;4,74;5,54;United States;Northern America;"Haas School of Business";"1970-2020";"Strategy and Management (Q1)"
23;21915;"Omega";journal;"03050483";2,579;Q1;131;223;332;11835;2581;327;7,28;53,07;United Kingdom;Western Europe;"Elsevier BV";"1973-2020";"Information Systems and Management (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
24;27069;"Human Relations";journal;"00187267, 1741282X";2,519;Q1;124;133;214;10607;1264;206;5,42;79,75;United States;Northern America;"SAGE Publications Ltd";"1947-2020";"Arts and Humanities (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Social Sciences (miscellaneous) (Q1); Strategy and Management (Q1)"
25;19680;"Industrial and Labor Relations Review";journal;"00197939, 2162271X";2,423;Q1;74;72;135;3146;436;126;3,73;43,69;United States;Northern America;"SAGE Publications Ltd";"1978, 1981-1982, 1984, 1996-2020";"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
26;28686;"International Journal of Hospitality Management";journal;"02784319";2,217;Q1;106;341;373;25971;3189;348;8,43;76,16;United Kingdom;Western Europe;"Elsevier Ltd.";"1982-2020";"Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)"
27;20039;"International Journal of Operations and Production Management";journal;"17586593, 01443577";2,187;Q1;129;66;253;5606;1794;246;6,83;84,94;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1985, 1995-2020";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
28;21100409642;"Global Strategy Journal";journal;"20425805";2,178;Q1;18;36;73;3623;350;64;5,40;100,64;United States;Northern America;"John Wiley and Sons Inc.";"2014-2020";"Business and International Management (Q1); Strategy and Management (Q1)"
29;21203;"Long Range Planning";journal;"00246301, 18731872";2,011;Q1;96;74;161;7708;988;144;6,89;104,16;United Kingdom;Western Europe;"Elsevier Ltd.";"1968-2020";"Finance (Q1); Geography, Planning and Development (Q1); Strategy and Management (Q1)"
30;19167;"Journal of Cleaner Production";journal;"09596526, 18791786";1,886;Q1;173;4078;8612;240812;72709;8573;8,30;59,05;Netherlands;Western Europe;"Elsevier Ltd.";"1993-2020";"Environmental Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Strategy and Management (Q1)"
31;12815;"Journal of Information Technology";journal;"14664437, 02683962";1,841;Q1;75;23;71;1730;410;65;5,26;75,22;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1987-2020";"Information Systems (Q1); Library and Information Sciences (Q1); Strategy and Management (Q1)"
32;23406;"Business Strategy and the Environment";journal;"10990836, 09644733";1,828;Q1;94;103;262;7931;1717;260;6,16;77,00;United States;Northern America;"John Wiley and Sons Ltd";"1992-2020";"Business and International Management (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Strategy and Management (Q1)"
33;27656;"International Journal of Production Research";journal;"00207543, 1366588X";1,776;Q1;125;628;1332;36391;7754;1290;6,39;57,95;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1961, 1963-1968, 1970-2020";"Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
