Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
50;22236;"Journal of the Operational Research Society";journal;"01605682, 14769360";0,951;Q2;101;281;403;11765;1161;397;2,72;41,87;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1978-2020";"Management Information Systems (Q1); Modeling and Simulation (Q1); Strategy and Management (Q1); Management Science and Operations Research (Q2); Marketing (Q2); Statistics, Probability and Uncertainty (Q2)"
51;19700190346;"Consumption Markets and Culture";journal;"10253866, 1477223X";0,904;Q2;27;57;110;4124;228;91;1,95;72,35;United States;Northern America;"Routledge";"2003, 2007, 2010-2020";"Anthropology (Q1); Economics and Econometrics (Q2); Marketing (Q2); Social Psychology (Q2)"
52;21100286445;"Journal of Current Issues and Research in Advertising";journal;"10641734, 21647313";0,901;Q2;31;24;46;1483;74;45;1,06;61,79;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2010, 2012-2020";"Marketing (Q2)"
53;144666;"Journal of Product and Brand Management";journal;"10610421";0,841;Q2;75;107;197;9376;673;177;3,03;87,63;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1992-2020";"Strategy and Management (Q1); Management of Technology and Innovation (Q2); Marketing (Q2)"
54;4700152279;"Journal of Marketing for Higher Education";journal;"15407144, 08841241";0,819;Q2;29;24;46;1629;151;44;3,59;67,88;United States;Northern America;"Routledge";"1988-1991, 1993-2020";"Education (Q1); Marketing (Q2)"
55;145229;"International Journal of Bank Marketing";journal;"02652323";0,772;Q2;77;115;183;9701;905;182;4,38;84,36;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2020";"Marketing (Q2)"
56;17900156718;"Journal of Strategic Marketing";journal;"0965254X, 14664488";0,770;Q2;45;70;136;4657;370;110;2,40;66,53;United Kingdom;Western Europe;"Routledge";"1984, 1993-2020";"Marketing (Q2); Strategy and Management (Q2)"
57;19700201414;"Journal of Research in Interactive Marketing";journal;"20407122";0,762;Q2;31;29;72;2700;258;70;3,40;93,10;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2010-2020";"Marketing (Q2)"
58;22897;"Journal of Consumer Marketing";journal;"07363761";0,751;Q2;91;96;179;6286;448;178;1,99;65,48;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1984-2020";"Business and International Management (Q1); Marketing (Q2)"
59;144958;"Journal of Macromarketing";journal;"02761467";0,736;Q2;51;33;95;2508;225;77;2,83;76,00;United States;Northern America;"SAGE Publications Inc.";"1981-2020";"Marketing (Q2)"
60;144921;"International Journal of Retail and Distribution Management";journal;"09590552";0,725;Q2;73;85;204;6566;758;194;3,28;77,25;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1990-2020";"Business and International Management (Q1); Marketing (Q2); Tourism, Leisure and Hospitality Management (Q2)"
61;17600155397;"International Journal of Design";journal;"1994036X, 19913761";0,720;Q2;35;18;55;1152;175;52;2,71;64,00;Taiwan;Asiatic Region;"National Taiwan University of Science and Technology";"2007-2019";"Computer Graphics and Computer-Aided Design (Q1); Industrial and Manufacturing Engineering (Q1); Marketing (Q2); Strategy and Management (Q2)"
62;22920;"Journal of Fashion Marketing and Management";journal;"13612026";0,712;Q2;47;39;97;2634;284;97;2,37;67,54;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1996-2020";"Business and International Management (Q1); Marketing (Q2)"
63;17700156769;"Journal of Brand Management";journal;"14791803, 1350231X";0,685;Q2;44;59;132;4430;358;124;2,33;75,08;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2008-2020";"Marketing (Q2); Strategy and Management (Q2)"
64;22893;"Journal of Business and Industrial Marketing";journal;"08858624";0,685;Q2;62;189;285;14196;996;278;3,35;75,11;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1986-2020";"Business and International Management (Q1); Marketing (Q2)"
65;5700167235;"International Journal of Consumer Studies";journal;"14706423, 14706431";0,678;Q2;64;54;244;3101;586;237;1,96;57,43;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2001-2020";"Applied Psychology (Q2); Economics and Econometrics (Q2); Marketing (Q2); Public Health, Environmental and Occupational Health (Q2)"
66;4700152295;"Journal of Promotion Management";journal;"10496491";0,650;Q2;24;53;149;3180;264;141;1,58;60,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-1997, 1999-2002, 2004, 2006-2020";"Marketing (Q2)"
67;21100465205;"European Research on Management and Business Economics";journal;"24448834";0,641;Q2;14;22;64;1176;252;64;4,98;53,45;Spain;Western Europe;"European Academy of Management and Business Economics";"2016-2020";"Business and International Management (Q1); Economics and Econometrics (Q2); Marketing (Q2); Strategy and Management (Q2)"
68;21100778661;"European Journal of Management and Business Economics";journal;"24448451";0,639;Q2;11;18;58;1478;172;56;3,27;82,11;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2016-2020";"Business and International Management (Q1); Finance (Q2); Marketing (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2); Tourism, Leisure and Hospitality Management (Q2)"
69;4700152786;"Journal of Political Marketing";journal;"15377857, 15377865";0,632;Q2;23;29;81;1660;106;54;1,78;57,24;United States;Northern America;"Routledge";"2002-2020";"Sociology and Political Science (Q1); Marketing (Q2)"
70;5000153402;"Journal of Marketing Theory and Practice";journal;"10696679";0,623;Q2;41;28;80;2044;186;77;2,10;73,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2020";"Marketing (Q2)"
